Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
12 10 2013,7:00 pm,Miami Heat,84,Indiana Pacers,90,Box Score,,
12 10 2013,10:30 pm,Phoenix Suns,114,Los Angeles Lakers,108,Box Score,,
12 10 2013,7:00 pm,San Antonio Spurs,116,Toronto Raptors,103,Box Score,,
12 11 2013,7:30 pm,Los Angeles Clippers,96,Boston Celtics,88,Box Score,,
12 11 2013,7:00 pm,Orlando Magic,92,Charlotte Bobcats,83,Box Score,,
12 11 2013,10:30 pm,Dallas Mavericks,93,Golden State Warriors,95,Box Score,,
12 11 2013,8:00 pm,Oklahoma City Thunder,116,Memphis Grizzlies,100,Box Score,,
12 11 2013,8:00 pm,San Antonio Spurs,109,Milwaukee Bucks,77,Box Score,,
12 11 2013,8:00 pm,Philadelphia 76ers,99,Minnesota Timberwolves,106,Box Score,,
12 11 2013,8:00 pm,Detroit Pistons,106,New Orleans Pelicans,111,Box Score,OT,
12 11 2013,8:00 pm,Chicago Bulls,78,New York Knicks,83,Box Score,,
12 11 2013,10:00 pm,Utah Jazz,122,Sacramento Kings,101,Box Score,,
12 12 2013,8:00 pm,Los Angeles Clippers,93,Brooklyn Nets,102,Box Score,,
12 12 2013,10:30 pm,Houston Rockets,104,Portland Trail Blazers,111,Box Score,,
12 13 2013,7:30 pm,Washington Wizards,99,Atlanta Hawks,101,Box Score,OT,
12 13 2013,7:30 pm,New York Knicks,86,Boston Celtics,90,Box Score,,
12 13 2013,9:00 pm,Utah Jazz,103,Denver Nuggets,93,Box Score,,
12 13 2013,7:30 pm,Brooklyn Nets,99,Detroit Pistons,103,Box Score,,
12 13 2013,10:30 pm,Houston Rockets,116,Golden State Warriors,112,Box Score,,
12 13 2013,7:00 pm,Charlotte Bobcats,94,Indiana Pacers,99,Box Score,,
12 13 2013,8:30 pm,Chicago Bulls,91,Milwaukee Bucks,90,Box Score,,
12 13 2013,8:00 pm,Memphis Grizzlies,98,New Orleans Pelicans,104,Box Score,,
12 13 2013,8:00 pm,Los Angeles Lakers,97,Oklahoma City Thunder,122,Box Score,,
12 13 2013,7:00 pm,Cleveland Cavaliers,109,Orlando Magic,100,Box Score,,
12 13 2013,9:00 pm,Sacramento Kings,107,Phoenix Suns,116,Box Score,,
12 13 2013,8:30 pm,Minnesota Timberwolves,110,San Antonio Spurs,117,Box Score,,
12 13 2013,7:00 pm,Philadelphia 76ers,100,Toronto Raptors,108,Box Score,,
12 14 2013,7:00 pm,Los Angeles Lakers,88,Charlotte Bobcats,85,Box Score,,
12 14 2013,8:00 pm,Toronto Raptors,99,Chicago Bulls,77,Box Score,,
12 14 2013,8:30 pm,Milwaukee Bucks,93,Dallas Mavericks,106,Box Score,,
12 14 2013,7:30 pm,Cleveland Cavaliers,107,Miami Heat,114,Box Score,,
12 14 2013,7:30 pm,Atlanta Hawks,106,New York Knicks,111,Box Score,,
12 14 2013,8:00 pm,Portland Trail Blazers,139,Philadelphia 76ers,105,Box Score,,
12 14 2013,9:00 pm,San Antonio Spurs,100,Utah Jazz,84,Box Score,,
12 14 2013,7:00 pm,Los Angeles Clippers,113,Washington Wizards,97,Box Score,,
12 15 2013,8:00 pm,New Orleans Pelicans,93,Denver Nuggets,102,Box Score,,
12 15 2013,6:00 pm,Portland Trail Blazers,111,Detroit Pistons,109,Box Score,OT,
12 15 2013,6:00 pm,Minnesota Timberwolves,101,Memphis Grizzlies,93,Box Score,,
12 15 2013,7:00 pm,Orlando Magic,98,Oklahoma City Thunder,101,Box Score,,
12 15 2013,8:00 pm,Golden State Warriors,102,Phoenix Suns,106,Box Score,,
12 15 2013,6:00 pm,Houston Rockets,91,Sacramento Kings,106,Box Score,,
12 16 2013,7:30 pm,Los Angeles Lakers,100,Atlanta Hawks,114,Box Score,,
12 16 2013,7:30 pm,Minnesota Timberwolves,97,Boston Celtics,101,Box Score,,
12 16 2013,7:30 pm,Philadelphia 76ers,94,Brooklyn Nets,130,Box Score,,
12 16 2013,8:00 pm,Orlando Magic,83,Chicago Bulls,82,Box Score,,
12 16 2013,7:00 pm,Detroit Pistons,101,Indiana Pacers,96,Box Score,,
12 16 2013,10:30 pm,San Antonio Spurs,92,Los Angeles Clippers,115,Box Score,,
12 16 2013,7:30 pm,Utah Jazz,94,Miami Heat,117,Box Score,,
12 16 2013,7:30 pm,Washington Wizards,102,New York Knicks,101,Box Score,,
12 17 2013,7:00 pm,Sacramento Kings,87,Charlotte Bobcats,95,Box Score,,
12 17 2013,7:00 pm,Portland Trail Blazers,119,Cleveland Cavaliers,116,Box Score,,
12 17 2013,9:00 pm,Oklahoma City Thunder,105,Denver Nuggets,93,Box Score,,
12 17 2013,10:30 pm,New Orleans Pelicans,93,Golden State Warriors,104,Box Score,,
12 17 2013,8:00 pm,Los Angeles Lakers,96,Memphis Grizzlies,92,Box Score,,
12 18 2013,7:30 pm,Sacramento Kings,107,Atlanta Hawks,124,Box Score,,
12 18 2013,7:30 pm,Detroit Pistons,107,Boston Celtics,106,Box Score,,
12 18 2013,7:30 pm,Washington Wizards,113,Brooklyn Nets,107,Box Score,,
12 18 2013,8:30 pm,Memphis Grizzlies,91,Dallas Mavericks,105,Box Score,,
12 18 2013,9:30 pm,Chicago Bulls,94,Houston Rockets,109,Box Score,,
12 18 2013,10:30 pm,New Orleans Pelicans,95,Los Angeles Clippers,108,Box Score,,
12 18 2013,7:00 pm,Indiana Pacers,94,Miami Heat,97,Box Score,,
12 18 2013,8:00 pm,New York Knicks,107,Milwaukee Bucks,101,Box Score,2OT,
12 18 2013,8:00 pm,Portland Trail Blazers,109,Minnesota Timberwolves,120,Box Score,,
12 18 2013,7:00 pm,Utah Jazz,86,Orlando Magic,82,Box Score,,
12 18 2013,9:00 pm,San Antonio Spurs,108,Phoenix Suns,101,Box Score,,
12 18 2013,7:00 pm,Charlotte Bobcats,104,Toronto Raptors,102,Box Score,OT,
12 19 2013,10:30 pm,San Antonio Spurs,104,Golden State Warriors,102,Box Score,,
12 19 2013,8:00 pm,Chicago Bulls,95,Oklahoma City Thunder,107,Box Score,,
12 20 2013,7:30 pm,Utah Jazz,85,Atlanta Hawks,118,Box Score,,
12 20 2013,7:30 pm,Milwaukee Bucks,111,Cleveland Cavaliers,114,Box Score,OT,
12 20 2013,8:30 pm,Toronto Raptors,109,Dallas Mavericks,108,Box Score,OT,
12 20 2013,9:00 pm,Phoenix Suns,103,Denver Nuggets,99,Box Score,,
12 20 2013,7:30 pm,Charlotte Bobcats,116,Detroit Pistons,106,Box Score,,
12 20 2013,8:00 pm,Houston Rockets,81,Indiana Pacers,114,Box Score,,
12 20 2013,10:30 pm,Minnesota Timberwolves,91,Los Angeles Lakers,104,Box Score,,
12 20 2013,7:30 pm,Sacramento Kings,103,Miami Heat,122,Box Score,,
12 20 2013,7:00 pm,Brooklyn Nets,120,Philadelphia 76ers,121,Box Score,OT,
12 21 2013,1:00 pm,Washington Wizards,106,Boston Celtics,99,Box Score,,
12 21 2013,7:30 pm,Utah Jazz,88,Charlotte Bobcats,85,Box Score,,
12 21 2013,8:00 pm,Cleveland Cavaliers,84,Chicago Bulls,100,Box Score,,
12 21 2013,7:30 pm,Houston Rockets,114,Detroit Pistons,97,Box Score,,
12 21 2013,10:30 pm,Los Angeles Lakers,83,Golden State Warriors,102,Box Score,,
12 21 2013,10:30 pm,Denver Nuggets,91,Los Angeles Clippers,112,Box Score,,
12 21 2013,8:30 pm,Philadelphia 76ers,106,Milwaukee Bucks,116,Box Score,,
12 21 2013,12:00 am,Memphis Grizzlies,95,New York Knicks,87,Box Score,,
12 21 2013,7:00 pm,Sacramento Kings,105,Orlando Magic,100,Box Score,,
12 21 2013,9:00 pm,Dallas Mavericks,108,Phoenix Suns,123,Box Score,,
12 21 2013,10:00 pm,New Orleans Pelicans,107,Portland Trail Blazers,110,Box Score,,
12 21 2013,8:30 pm,Oklahoma City Thunder,113,San Antonio Spurs,100,Box Score,,
12 22 2013,6:00 pm,Boston Celtics,79,Indiana Pacers,106,Box Score,,
12 22 2013,9:30 pm,Minnesota Timberwolves,116,Los Angeles Clippers,120,Box Score,OT,
12 22 2013,7:00 pm,Toronto Raptors,104,Oklahoma City Thunder,98,Box Score,,
12 23 2013,7:30 pm,Indiana Pacers,103,Brooklyn Nets,86,Box Score,,
12 23 2013,7:00 pm,Milwaukee Bucks,110,Charlotte Bobcats,111,Box Score,OT,
12 23 2013,7:00 pm,Detroit Pistons,115,Cleveland Cavaliers,92,Box Score,,
12 23 2013,9:00 pm,Golden State Warriors,89,Denver Nuggets,81,Box Score,,
12 23 2013,8:00 pm,Dallas Mavericks,111,Houston Rockets,104,Box Score,,
12 23 2013,8:00 pm,Utah Jazz,94,Memphis Grizzlies,104,Box Score,,
12 23 2013,7:30 pm,Atlanta Hawks,119,Miami Heat,121,Box Score,OT,
12 23 2013,7:00 pm,New York Knicks,103,Orlando Magic,98,Box Score,,
12 23 2013,9:00 pm,Los Angeles Lakers,90,Phoenix Suns,117,Box Score,,
12 23 2013,10:00 pm,New Orleans Pelicans,113,Sacramento Kings,100,Box Score,,
12 23 2013,8:30 pm,Toronto Raptors,99,San Antonio Spurs,112,Box Score,,
12 25 2013,12:00 am,Chicago Bulls,95,Brooklyn Nets,78,Box Score,,
12 25 2013,10:30 pm,Los Angeles Clippers,103,Golden State Warriors,105,Box Score,,
12 25 2013,5:00 pm,Miami Heat,101,Los Angeles Lakers,95,Box Score,,
12 25 2013,2:30 pm,Oklahoma City Thunder,123,New York Knicks,94,Box Score,,
12 25 2013,8:00 pm,Houston Rockets,111,San Antonio Spurs,98,Box Score,,
12 26 2013,7:00 pm,Atlanta Hawks,127,Cleveland Cavaliers,125,Box Score,2OT,
12 26 2013,8:30 pm,San Antonio Spurs,116,Dallas Mavericks,107,Box Score,,
12 26 2013,8:00 pm,Memphis Grizzlies,92,Houston Rockets,100,Box Score,,
12 26 2013,10:30 pm,Los Angeles Clippers,112,Portland Trail Blazers,116,Box Score,OT,
12 27 2013,7:30 pm,Milwaukee Bucks,93,Brooklyn Nets,104,Box Score,,
12 27 2013,7:00 pm,Oklahoma City Thunder,89,Charlotte Bobcats,85,Box Score,,
12 27 2013,10:30 pm,Phoenix Suns,86,Golden State Warriors,115,Box Score,,
12 27 2013,8:00 pm,Washington Wizards,98,Minnesota Timberwolves,120,Box Score,,
12 27 2013,8:00 pm,Denver Nuggets,89,New Orleans Pelicans,105,Box Score,,
12 27 2013,7:30 pm,Toronto Raptors,95,New York Knicks,83,Box Score,,
12 27 2013,7:00 pm,Detroit Pistons,92,Orlando Magic,109,Box Score,,
12 27 2013,10:00 pm,Miami Heat,103,Sacramento Kings,108,Box Score,OT,
12 27 2013,9:00 pm,Los Angeles Lakers,103,Utah Jazz,105,Box Score,,
12 28 2013,7:30 pm,Charlotte Bobcats,116,Atlanta Hawks,118,Box Score,OT,
12 28 2013,1:00 pm,Cleveland Cavaliers,100,Boston Celtics,103,Box Score,,
12 28 2013,8:00 pm,Dallas Mavericks,105,Chicago Bulls,83,Box Score,,
12 28 2013,8:00 pm,New Orleans Pelicans,98,Houston Rockets,107,Box Score,,
12 28 2013,7:00 pm,Brooklyn Nets,91,Indiana Pacers,105,Box Score,,
12 28 2013,10:30 pm,Utah Jazz,90,Los Angeles Clippers,98,Box Score,,
12 28 2013,8:00 pm,Denver Nuggets,99,Memphis Grizzlies,120,Box Score,,
12 28 2013,8:30 pm,Minnesota Timberwolves,117,Milwaukee Bucks,95,Box Score,,
12 28 2013,9:00 pm,Philadelphia 76ers,101,Phoenix Suns,115,Box Score,,
12 28 2013,10:00 pm,Miami Heat,108,Portland Trail Blazers,107,Box Score,,
12 28 2013,7:00 pm,New York Knicks,100,Toronto Raptors,115,Box Score,,
12 28 2013,7:00 pm,Detroit Pistons,82,Washington Wizards,106,Box Score,,
12 29 2013,6:00 pm,Golden State Warriors,108,Cleveland Cavaliers,104,Box Score,OT,
12 29 2013,9:30 pm,Philadelphia 76ers,111,Los Angeles Lakers,104,Box Score,,
12 29 2013,7:00 pm,Houston Rockets,86,Oklahoma City Thunder,117,Box Score,,
12 29 2013,6:00 pm,Atlanta Hawks,102,Orlando Magic,109,Box Score,,
12 29 2013,7:00 pm,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,
12 30 2013,9:00 pm,Miami Heat,97,Denver Nuggets,94,Box Score,,
12 30 2013,7:30 pm,Washington Wizards,106,Detroit Pistons,99,Box Score,,
12 30 2013,10:30 pm,Phoenix Suns,107,Los Angeles Clippers,88,Box Score,,
12 30 2013,8:00 pm,Chicago Bulls,95,Memphis Grizzlies,91,Box Score,,
12 30 2013,8:00 pm,Dallas Mavericks,100,Minnesota Timberwolves,98,Box Score,,
12 30 2013,8:00 pm,Portland Trail Blazers,108,New Orleans Pelicans,110,Box Score,,
12 30 2013,9:00 pm,Charlotte Bobcats,80,Utah Jazz,83,Box Score,,
12 31 2013,1:00 pm,Atlanta Hawks,92,Boston Celtics,91,Box Score,,
12 31 2013,8:00 pm,Toronto Raptors,85,Chicago Bulls,79,Box Score,,
12 31 2013,7:00 pm,Sacramento Kings,110,Houston Rockets,106,Box Score,,
12 31 2013,3:00 pm,Cleveland Cavaliers,76,Indiana Pacers,91,Box Score,,
12 31 2013,10:30 pm,Milwaukee Bucks,94,Los Angeles Lakers,79,Box Score,,
12 31 2013,8:00 pm,Portland Trail Blazers,98,Oklahoma City Thunder,94,Box Score,,
12 31 2013,5:00 pm,Golden State Warriors,94,Orlando Magic,81,Box Score,,
12 31 2013,7:00 pm,Brooklyn Nets,92,San Antonio Spurs,113,Box Score,,
1 1 2014,9:00 pm,Philadelphia 76ers,114,Denver Nuggets,102,Box Score,,
1 1 2014,9:30 pm,Charlotte Bobcats,85,Los Angeles Clippers,112,Box Score,,
1 1 2014,8:00 pm,New Orleans Pelicans,112,Minnesota Timberwolves,124,Box Score,,
1 1 2014,7:00 pm,Indiana Pacers,82,Toronto Raptors,95,Box Score,,
1 1 2014,6:00 pm,Dallas Mavericks,87,Washington Wizards,78,Box Score,,
1 2 2014,8:00 pm,Boston Celtics,82,Chicago Bulls,94,Box Score,,
1 2 2014,7:00 pm,Orlando Magic,81,Cleveland Cavaliers,87,Box Score,OT,
1 2 2014,7:30 pm,Golden State Warriors,123,Miami Heat,114,Box Score,,
1 2 2014,8:00 pm,Brooklyn Nets,95,Oklahoma City Thunder,93,Box Score,,
1 2 2014,9:00 pm,Memphis Grizzlies,99,Phoenix Suns,91,Box Score,,
1 2 2014,10:00 pm,Charlotte Bobcats,104,Portland Trail Blazers,134,Box Score,,
1 2 2014,10:00 pm,Philadelphia 76ers,113,Sacramento Kings,104,Box Score,,
1 2 2014,8:30 pm,New York Knicks,105,San Antonio Spurs,101,Box Score,,
1 2 2014,9:00 pm,Milwaukee Bucks,87,Utah Jazz,96,Box Score,,
1 3 2014,7:30 pm,Golden State Warriors,101,Atlanta Hawks,100,Box Score,,
1 3 2014,7:30 pm,New Orleans Pelicans,95,Boston Celtics,92,Box Score,,
1 3 2014,8:30 pm,Los Angeles Clippers,119,Dallas Mavericks,112,Box Score,,
1 3 2014,9:00 pm,Memphis Grizzlies,108,Denver Nuggets,111,Box Score,,
1 3 2014,8:00 pm,New York Knicks,100,Houston Rockets,102,Box Score,,
1 3 2014,10:30 pm,Utah Jazz,99,Los Angeles Lakers,110,Box Score,,
1 3 2014,7:00 pm,Toronto Raptors,101,Washington Wizards,88,Box Score,,
1 4 2014,7:30 pm,Cleveland Cavaliers,82,Brooklyn Nets,89,Box Score,,
1 4 2014,8:00 pm,Atlanta Hawks,84,Chicago Bulls,91,Box Score,,
1 4 2014,7:00 pm,New Orleans Pelicans,82,Indiana Pacers,99,Box Score,,
1 4 2014,8:00 pm,Oklahoma City Thunder,115,Minnesota Timberwolves,111,Box Score,,
1 4 2014,7:00 pm,Miami Heat,110,Orlando Magic,94,Box Score,,
1 4 2014,9:00 pm,Milwaukee Bucks,100,Phoenix Suns,116,Box Score,,
1 4 2014,10:00 pm,Philadelphia 76ers,101,Portland Trail Blazers,99,Box Score,,
1 4 2014,10:00 pm,Charlotte Bobcats,113,Sacramento Kings,103,Box Score,,
1 4 2014,8:30 pm,Los Angeles Clippers,92,San Antonio Spurs,116,Box Score,,
1 5 2014,6:00 pm,Indiana Pacers,82,Cleveland Cavaliers,78,Box Score,,
1 5 2014,7:30 pm,New York Knicks,92,Dallas Mavericks,80,Box Score,,
1 5 2014,1:00 pm,Memphis Grizzlies,112,Detroit Pistons,84,Box Score,,
1 5 2014,9:30 pm,Denver Nuggets,137,Los Angeles Lakers,115,Box Score,,
1 5 2014,6:00 pm,Toronto Raptors,97,Miami Heat,102,Box Score,,
1 5 2014,7:00 pm,Boston Celtics,96,Oklahoma City Thunder,119,Box Score,,
1 5 2014,6:00 pm,Golden State Warriors,112,Washington Wizards,96,Box Score,,
1 6 2014,7:30 pm,Atlanta Hawks,86,Brooklyn Nets,91,Box Score,,
1 6 2014,10:30 pm,Orlando Magic,81,Los Angeles Clippers,101,Box Score,,
1 6 2014,7:00 pm,Minnesota Timberwolves,126,Philadelphia 76ers,95,Box Score,,
1 7 2014,7:00 pm,Washington Wizards,97,Charlotte Bobcats,83,Box Score,,
1 7 2014,8:00 pm,Phoenix Suns,87,Chicago Bulls,92,Box Score,,
1 7 2014,7:00 pm,Philadelphia 76ers,93,Cleveland Cavaliers,111,Box Score,,
1 7 2014,8:30 pm,Los Angeles Lakers,97,Dallas Mavericks,110,Box Score,,
1 7 2014,9:00 pm,Boston Celtics,98,Denver Nuggets,129,Box Score,,
1 7 2014,7:00 pm,Toronto Raptors,79,Indiana Pacers,86,Box Score,,
1 7 2014,8:00 pm,San Antonio Spurs,110,Memphis Grizzlies,108,Box Score,OT,
1 7 2014,7:30 pm,New Orleans Pelicans,88,Miami Heat,107,Box Score,,
1 7 2014,8:00 pm,Golden State Warriors,101,Milwaukee Bucks,80,Box Score,,
1 7 2014,7:30 pm,Detroit Pistons,85,New York Knicks,89,Box Score,,
1 7 2014,10:00 pm,Portland Trail Blazers,119,Sacramento Kings,123,Box Score,,
1 7 2014,9:00 pm,Oklahoma City Thunder,101,Utah Jazz,112,Box Score,,
1 8 2014,7:30 pm,Indiana Pacers,87,Atlanta Hawks,97,Box Score,,
1 8 2014,7:30 pm,Golden State Warriors,98,Brooklyn Nets,102,Box Score,,
1 8 2014,8:00 pm,Los Angeles Lakers,99,Houston Rockets,113,Box Score,,
1 8 2014,10:30 pm,Boston Celtics,105,Los Angeles Clippers,111,Box Score,,
1 8 2014,9:30 pm,Phoenix Suns,104,Minnesota Timberwolves,103,Box Score,,
1 8 2014,8:00 pm,Washington Wizards,102,New Orleans Pelicans,96,Box Score,,
1 8 2014,10:00 pm,Orlando Magic,94,Portland Trail Blazers,110,Box Score,,
1 8 2014,7:00 pm,Dallas Mavericks,90,San Antonio Spurs,112,Box Score,,
1 8 2014,7:00 pm,Detroit Pistons,91,Toronto Raptors,112,Box Score,,
1 9 2014,10:30 pm,Oklahoma City Thunder,88,Denver Nuggets,101,Box Score,,
1 9 2014,8:00 pm,Miami Heat,92,New York Knicks,102,Box Score,,
1 10 2014,7:30 pm,Houston Rockets,80,Atlanta Hawks,83,Box Score,,
1 10 2014,8:00 pm,Miami Heat,95,Brooklyn Nets,104,Box Score,2OT,
1 10 2014,10:30 pm,Boston Celtics,97,Golden State Warriors,99,Box Score,,
1 10 2014,7:00 pm,Washington Wizards,66,Indiana Pacers,93,Box Score,,
1 10 2014,10:30 pm,Los Angeles Lakers,87,Los Angeles Clippers,123,Box Score,,
1 10 2014,8:00 pm,Phoenix Suns,99,Memphis Grizzlies,104,Box Score,,
1 10 2014,8:30 pm,Chicago Bulls,81,Milwaukee Bucks,72,Box Score,,
1 10 2014,8:00 pm,Charlotte Bobcats,92,Minnesota Timberwolves,119,Box Score,,
1 10 2014,8:00 pm,Dallas Mavericks,107,New Orleans Pelicans,90,Box Score,,
1 10 2014,7:00 pm,Detroit Pistons,114,Philadelphia 76ers,104,Box Score,,
1 10 2014,10:00 pm,Orlando Magic,83,Sacramento Kings,103,Box Score,,
1 10 2014,9:00 pm,Cleveland Cavaliers,113,Utah Jazz,102,Box Score,,
1 11 2014,8:00 pm,Charlotte Bobcats,97,Chicago Bulls,103,Box Score,,
1 11 2014,8:30 pm,New Orleans Pelicans,107,Dallas Mavericks,110,Box Score,,
1 11 2014,9:00 pm,Orlando Magic,94,Denver Nuggets,120,Box Score,,
1 11 2014,7:30 pm,Phoenix Suns,108,Detroit Pistons,110,Box Score,,
1 11 2014,8:00 pm,Milwaukee Bucks,85,Oklahoma City Thunder,101,Box Score,,
1 11 2014,7:30 pm,New York Knicks,102,Philadelphia 76ers,92,Box Score,,
1 11 2014,10:00 pm,Boston Celtics,104,Portland Trail Blazers,112,Box Score,,
1 11 2014,7:00 pm,Brooklyn Nets,80,Toronto Raptors,96,Box Score,,
1 11 2014,7:00 pm,Houston Rockets,114,Washington Wizards,107,Box Score,,
1 12 2014,6:00 pm,Atlanta Hawks,101,Memphis Grizzlies,108,Box Score,,
1 12 2014,6:00 pm,Cleveland Cavaliers,80,Sacramento Kings,124,Box Score,,
1 12 2014,7:00 pm,Minnesota Timberwolves,86,San Antonio Spurs,104,Box Score,,
1 13 2014,7:30 pm,Houston Rockets,104,Boston Celtics,92,Box Score,,
1 13 2014,8:00 pm,Washington Wizards,102,Chicago Bulls,88,Box Score,,
1 13 2014,8:30 pm,Orlando Magic,88,Dallas Mavericks,107,Box Score,,
1 13 2014,8:00 pm,San Antonio Spurs,101,New Orleans Pelicans,95,Box Score,,
1 13 2014,7:30 pm,Phoenix Suns,96,New York Knicks,98,Box Score,OT,
1 13 2014,7:00 pm,Milwaukee Bucks,94,Toronto Raptors,116,Box Score,,
1 13 2014,9:00 pm,Denver Nuggets,103,Utah Jazz,118,Box Score,,
1 14 2014,7:00 pm,New York Knicks,98,Charlotte Bobcats,108,Box Score,,
1 14 2014,7:00 pm,Sacramento Kings,92,Indiana Pacers,116,Box Score,,
1 14 2014,10:30 pm,Cleveland Cavaliers,120,Los Angeles Lakers,118,Box Score,,
1 14 2014,8:00 pm,Oklahoma City Thunder,87,Memphis Grizzlies,90,Box Score,,
1 15 2014,7:30 pm,Toronto Raptors,83,Boston Celtics,88,Box Score,,
1 15 2014,10:30 pm,Denver Nuggets,123,Golden State Warriors,116,Box Score,,
1 15 2014,10:30 pm,Dallas Mavericks,127,Los Angeles Clippers,129,Box Score,,
1 15 2014,8:00 pm,Memphis Grizzlies,82,Milwaukee Bucks,77,Box Score,,
1 15 2014,8:00 pm,Sacramento Kings,111,Minnesota Timberwolves,108,Box Score,,
1 15 2014,8:00 pm,Houston Rockets,103,New Orleans Pelicans,100,Box Score,,
1 15 2014,7:00 pm,Chicago Bulls,128,Orlando Magic,125,Box Score,3OT,
1 15 2014,7:00 pm,Charlotte Bobcats,92,Philadelphia 76ers,95,Box Score,,
1 15 2014,9:00 pm,Los Angeles Lakers,114,Phoenix Suns,121,Box Score,,
1 15 2014,10:00 pm,Cleveland Cavaliers,96,Portland Trail Blazers,108,Box Score,,
1 15 2014,8:00 pm,Utah Jazz,105,San Antonio Spurs,109,Box Score,,
1 15 2014,7:00 pm,Miami Heat,97,Washington Wizards,114,Box Score,,
1 16 2014,3:00 pm,Brooklyn Nets,127,Atlanta Hawks,110,Box Score,,at London England
1 16 2014,9:30 pm,Oklahoma City Thunder,104,Houston Rockets,92,Box Score,,
1 16 2014,7:00 pm,New York Knicks,89,Indiana Pacers,117,Box Score,,
1 17 2014,7:30 pm,Los Angeles Lakers,107,Boston Celtics,104,Box Score,,
1 17 2014,9:00 pm,Cleveland Cavaliers,117,Denver Nuggets,109,Box Score,,
1 17 2014,7:30 pm,Utah Jazz,110,Detroit Pistons,89,Box Score,,
1 17 2014,8:00 pm,Sacramento Kings,90,Memphis Grizzlies,91,Box Score,,
1 17 2014,7:00 pm,Los Angeles Clippers,109,New York Knicks,95,Box Score,,
1 17 2014,9:30 pm,Golden State Warriors,121,Oklahoma City Thunder,127,Box Score,,
1 17 2014,7:00 pm,Charlotte Bobcats,111,Orlando Magic,101,Box Score,,
1 17 2014,7:00 pm,Miami Heat,101,Philadelphia 76ers,86,Box Score,,
1 17 2014,9:00 pm,Dallas Mavericks,110,Phoenix Suns,107,Box Score,,
1 17 2014,8:30 pm,Portland Trail Blazers,109,San Antonio Spurs,100,Box Score,,
1 17 2014,7:00 pm,Minnesota Timberwolves,89,Toronto Raptors,94,Box Score,,
1 17 2014,7:00 pm,Chicago Bulls,93,Washington Wizards,96,Box Score,,
1 18 2014,7:30 pm,Miami Heat,104,Charlotte Bobcats,96,Box Score,OT,
1 18 2014,8:00 pm,Philadelphia 76ers,78,Chicago Bulls,103,Box Score,,
1 18 2014,8:30 pm,Portland Trail Blazers,127,Dallas Mavericks,111,Box Score,,
1 18 2014,8:00 pm,Milwaukee Bucks,104,Houston Rockets,114,Box Score,,
1 18 2014,7:00 pm,Los Angeles Clippers,92,Indiana Pacers,106,Box Score,,
1 18 2014,8:00 pm,Utah Jazz,72,Minnesota Timberwolves,98,Box Score,,
1 18 2014,8:00 pm,Golden State Warriors,97,New Orleans Pelicans,87,Box Score,,
1 18 2014,7:00 pm,Detroit Pistons,104,Washington Wizards,98,Box Score,,
1 19 2014,7:00 pm,Sacramento Kings,93,Oklahoma City Thunder,108,Box Score,,
1 19 2014,6:00 pm,Boston Celtics,91,Orlando Magic,93,Box Score,,
1 19 2014,8:00 pm,Denver Nuggets,103,Phoenix Suns,117,Box Score,,
1 19 2014,7:00 pm,Milwaukee Bucks,82,San Antonio Spurs,110,Box Score,,
1 19 2014,1:00 pm,Los Angeles Lakers,112,Toronto Raptors,106,Box Score,,
1 20 2014,5:30 pm,Miami Heat,114,Atlanta Hawks,121,Box Score,,
1 20 2014,2:00 pm,Toronto Raptors,95,Charlotte Bobcats,100,Box Score,,
1 20 2014,8:00 pm,Los Angeles Lakers,100,Chicago Bulls,102,Box Score,OT,
1 20 2014,1:00 pm,Dallas Mavericks,102,Cleveland Cavaliers,97,Box Score,,
1 20 2014,1:00 pm,Los Angeles Clippers,112,Detroit Pistons,103,Box Score,,
1 20 2014,10:30 pm,Indiana Pacers,102,Golden State Warriors,94,Box Score,,
1 20 2014,8:00 pm,Portland Trail Blazers,113,Houston Rockets,126,Box Score,,
1 20 2014,5:00 pm,New Orleans Pelicans,95,Memphis Grizzlies,92,Box Score,,
1 20 2014,2:30 pm,Brooklyn Nets,103,New York Knicks,80,Box Score,,
1 20 2014,2:00 pm,Philadelphia 76ers,99,Washington Wizards,107,Box Score,,
1 21 2014,7:30 pm,Orlando Magic,90,Brooklyn Nets,101,Box Score,,
1 21 2014,7:30 pm,Boston Celtics,86,Miami Heat,93,Box Score,,
1 21 2014,8:00 pm,Sacramento Kings,114,New Orleans Pelicans,97,Box Score,,
1 21 2014,8:00 pm,Portland Trail Blazers,97,Oklahoma City Thunder,105,Box Score,,
1 21 2014,9:00 pm,Minnesota Timberwolves,112,Utah Jazz,97,Box Score,,
1 22 2014,7:00 pm,Los Angeles Clippers,91,Charlotte Bobcats,95,Box Score,,
1 22 2014,7:00 pm,Chicago Bulls,98,Cleveland Cavaliers,87,Box Score,,
1 22 2014,8:00 pm,Sacramento Kings,98,Houston Rockets,119,Box Score,,
1 22 2014,8:00 pm,Detroit Pistons,101,Milwaukee Bucks,104,Box Score,,
1 22 2014,7:30 pm,Philadelphia 76ers,110,New York Knicks,106,Box Score,,
1 22 2014,7:00 pm,Atlanta Hawks,112,Orlando Magic,109,Box Score,,
1 22 2014,10:30 pm,Indiana Pacers,100,Phoenix Suns,124,Box Score,,
